generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_defensive_wall,archetype_speed_sweeper,archetype_balanced_all-rounder,archetype_defensive_pivot,archetype_fast_attacker,archetype_generalist
195,0.7159289074609461,0.7308789563223769,0.03579062895588638,2.542740278498934,100.0,152,148,149,150,154,147
196,0.7185904249508194,0.7308789563223769,0.03392093604243705,2.547184722943378,100.0,155,155,146,148,149,147
197,0.714675356693301,0.7308789563223769,0.038554135711636184,2.536073611832267,100.0,152,151,149,148,150,150
198,0.7151919886615917,0.7308789563223769,0.036356567232216135,2.533851389610045,100.0,150,149,148,149,154,150
199,0.7174586829005482,0.7308789563223769,0.033819205470979066,2.553851389610045,100.0,151,152,150,148,152,147
200,0.7215096193259904,0.7308789563223769,0.02857724313635734,2.556073611832267,100.0,150,151,149,152,149,149
201,0.7170958579596184,0.7308789563223769,0.035038991996889875,2.542740278498934,100.0,153,154,149,150,149,145
202,0.7177519440224271,0.7308789563223769,0.03516124720340423,2.5449625007211556,100.0,156,153,146,147,151,147
203,0.7186400591364217,0.7308789563223769,0.03357879776797595,2.544962500721156,100.0,155,152,150,151,144,148
204,0.7118416073625145,0.7308789563223769,0.041197184899714065,2.533851389610045,100.0,155,150,148,148,146,153
205,0.7153060961062979,0.7323711133754189,0.036428555649622926,2.536073611832267,100.0,150,148,151,151,151,149
206,0.7188203998294664,0.7323711133754189,0.03373699723882654,2.5494069451656003,100.0,150,152,150,154,149,145
207,0.7171558599394442,0.7323711133754189,0.03609743170059957,2.5494069451656003,100.0,152,150,152,151,152,143
208,0.718670216346496,0.7323711133754189,0.033437552167382825,2.547184722943378,100.0,150,150,153,152,151,144
209,0.7206653456949592,0.7323711133754189,0.030453524618683576,2.5516291673878224,100.0,153,151,148,153,150,145
210,0.7160260944080487,0.7323711133754189,0.039356940327118395,2.5449625007211556,100.0,149,156,149,149,148,149
211,0.7165208016097218,0.7323711133754189,0.035856928133645646,2.5405180562767113,100.0,150,150,151,151,149,149
212,0.7220984789063264,0.7323711133754189,0.030845991811379245,2.553851389610045,100.0,150,155,146,148,152,149
213,0.7158315153868821,0.7323711133754189,0.038658753735107736,2.5405180562767113,100.0,152,152,152,146,150,148
214,0.7153234326699875,0.7323711133754189,0.03713055311462924,2.538295834054489,100.0,150,153,148,150,154,145
215,0.7199931682483803,0.7323711133754189,0.03382330212278043,2.5441237368298633,100.0,150,152,146,153,152,147
216,0.7187871622503786,0.7323711133754189,0.03483110539351838,2.542740278498934,100.0,150,149,148,153,150,150
217,0.7118597912597492,0.7323711133754189,0.04387785646732756,2.527184722943378,100.0,148,150,152,148,149,153
218,0.7211781683099404,0.7323711133754189,0.029975458990270164,2.5494069451656007,100.0,152,147,149,153,149,150
219,0.7196932556272255,0.7323711133754189,0.0347545939607826,2.553851389610045,100.0,152,153,149,150,148,148
220,0.719240159364864,0.7323711133754189,0.03316153522010963,2.544962500721156,100.0,152,148,154,149,151,146
221,0.7191002535982076,0.7323711133754189,0.034125690723067356,2.547184722943378,100.0,152,147,152,147,150,152
222,0.721830036576133,0.7323711133754189,0.02919010631485793,2.5516291673878224,100.0,151,154,149,153,146,147
223,0.7188624259593793,0.7323711133754189,0.03390215253394248,2.5405180562767113,100.0,152,151,145,153,149,150
224,0.717216596227119,0.7323711133754189,0.03834350832483018,2.542740278498934,100.0,158,148,151,145,152,146
225,0.7184315156827352,0.7323711133754189,0.03443040883455235,2.5494069451656007,100.0,155,147,153,148,150,147
226,0.7154820073776235,0.7323711133754189,0.04032293166997913,2.536073611832267,100.0,153,147,150,152,150,148
227,0.7237613772308997,0.7323711133754189,0.028703308949037425,2.5560736118322676,100.0,151,146,150,150,150,153
228,0.7229581739589321,0.7323711133754189,0.02950474269781131,2.553851389610045,100.0,152,153,147,150,148,150
229,0.7209825774380765,0.7323711133754189,0.031209062786175218,2.553851389610045,100.0,151,149,150,151,149,150
230,0.7148349058875912,0.7323711133754189,0.04036137489363118,2.538295834054489,100.0,150,155,149,152,152,142
231,0.7117595067276496,0.7323711133754189,0.04269674322082357,2.524962500721156,100.0,152,155,146,147,151,149
232,0.7193355343281289,0.7323711133754189,0.03487473213720678,2.547184722943378,100.0,147,152,146,152,153,150
233,0.7191210253366086,0.7323711133754189,0.0338285107349222,2.547184722943378,100.0,151,152,149,155,147,146
234,0.7183267957992988,0.7323711133754189,0.03605219468591036,2.542740278498934,100.0,151,150,147,150,154,148
235,0.7236423295990547,0.7323711133754189,0.027081647946337353,2.5582958340544892,100.0,147,154,148,152,147,152
236,0.7171363764470616,0.7323711133754189,0.03706121187819261,2.538295834054489,100.0,154,151,152,146,151,146
237,0.7216006461703055,0.7323711133754189,0.03105688236255944,2.553851389610045,100.0,153,152,147,151,149,148
238,0.7170295953543946,0.7323711133754189,0.03798949601402204,2.5405180562767113,100.0,153,155,147,147,151,147
239,0.7173614779001661,0.7323711133754189,0.0369423023640847,2.5449625007211556,100.0,154,150,149,151,150,146
240,0.7199034641598812,0.7323711133754189,0.03324213957475636,2.5449625007211556,100.0,153,153,149,147,150,148
241,0.7233367918007131,0.7323711133754189,0.0314735334883409,2.5560736118322676,100.0,149,154,149,150,148,150
242,0.7190927397035264,0.7323711133754189,0.03416668048335502,2.538295834054489,100.0,148,152,147,155,149,149
243,0.7185665383063752,0.7323711133754189,0.03325836515301329,2.538295834054489,100.0,145,155,148,158,147,147
244,0.7177075091556087,0.7323711133754189,0.036152204352145216,2.5405180562767113,100.0,156,151,146,149,152,146
245,0.7163189790241887,0.7323711133754189,0.03755133370403771,2.533851389610045,100.0,154,149,149,156,146,146
246,0.7206154855105712,0.7323711133754189,0.033275510524847896,2.551629167387823,100.0,149,154,149,150,151,147
247,0.7180341366569408,0.7323711133754189,0.03518578823848747,2.5449625007211556,100.0,150,150,148,152,152,148
248,0.7178654387031491,0.7323711133754189,0.03620329009531279,2.538295834054489,100.0,154,151,148,150,149,148
249,0.7190950470615228,0.7323711133754189,0.03528787242620987,2.542740278498934,100.0,152,152,147,154,149,146
250,0.7213644604653462,0.7323711133754189,0.031560516814787214,2.5494069451656007,100.0,153,149,144,150,152,152
