generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_speed_sweeper,archetype_defensive_wall,archetype_generalist,archetype_fast_attacker,archetype_defensive_pivot,archetype_balanced_all-rounder
103,0.711949407133108,0.7205058456867466,0.019776175624956795,1.3473771607250782,99.33333333333333,148,5.0,572,6.0,147,22
104,0.7092395746198225,0.7205058456867466,0.02452237796658911,1.4602426467520544,97.33333333333333,147,4.0,539,4.0,147,59
105,0.7115409864031856,0.7205058456867466,0.021472125215025343,1.6021079833013747,97.33333333333333,147,1.0,499,2.0,147,104
106,0.7136702740411108,0.7205058456867466,0.018537534499673557,1.753951597618857,99.33333333333333,150,1.0,457,2.0,149,141
107,0.710732822255186,0.7205058456867466,0.0225868223212204,1.7708906115053424,96.0,145,,450,3.0,145,157
108,0.7132028751378716,0.7205058456867466,0.02007823135545226,1.765313333717949,96.66666666666667,145,,454,2.0,147,152
109,0.7117362333249976,0.7205058456867466,0.02235978818253769,1.7697577781623934,96.66666666666667,145,3.0,452,1.0,149,150
110,0.7112789476949782,0.7205058456867466,0.02256463001170024,1.7664461670608982,96.66666666666667,146,2.0,452,1.0,152,147
111,0.7100870088575416,0.7205058456867466,0.023094168105620125,1.7947903615101504,99.33333333333333,149,,442,5.0,152,152
112,0.7134024274842502,0.7205058456867466,0.019647030721381787,1.7772632087203528,98.0,147,2.0,447,2.0,146,156
113,0.7104654267485833,0.7205058456867466,0.023528677325846063,1.771184680956998,98.0,150,,449,4.0,148,149
114,0.7119939747524237,0.7205058456867466,0.02237286293449841,1.7661520976092417,97.33333333333333,147,2.0,455,1.0,146,149
115,0.7122836481472054,0.7205058456867466,0.021812279650812765,1.7886683892831199,98.0,147,1.0,444,4.0,151,153
116,0.7139434064830624,0.7205058456867466,0.019100752634521063,1.7844745698266562,96.0,144,1.0,447,3.0,153,152
117,0.7118831624594161,0.7205058456867466,0.021374324238478987,1.7692130837227569,97.33333333333333,146,1.0,452,3.0,148,150
118,0.7129121550735504,0.7205058456867466,0.019618966412655408,1.7808688892735043,97.33333333333333,146,1.0,448,5.0,148,152
119,0.7125915667581838,0.7205058456867466,0.02074423353294427,1.7847686392783124,98.66666666666667,149,2.0,446,2.0,151,150
120,0.7129461249987143,0.7205058456867466,0.019857068461770083,1.7719800003846156,98.66666666666667,149,,450,2.0,151,148
121,0.7106818763902887,0.7205058456867466,0.023722143614886393,1.787829625391827,98.66666666666667,148,2.0,445,3.0,147,155
122,0.71276723879745,0.7205058456867466,0.020998131541152317,1.7844745698266562,98.0,149,2.0,449,4.0,148,148
123,0.7105614860833901,0.7205058456867466,0.022914329305501,1.7742022226068381,97.33333333333333,147,1.0,448,4.0,152,148
124,0.7114101615581997,0.7205058456867466,0.02154138384065464,1.7864461670608978,98.66666666666667,150,2.0,444,4.0,148,152
125,0.710916547142784,0.7205058456867466,0.022769975790840866,1.7761738198410797,98.66666666666667,150,,445,4.0,149,152
126,0.7117088678626149,0.7205058456867466,0.02189476306994226,1.7708906115053424,98.66666666666667,149,1.0,452,5.0,142,151
127,0.7110725976882881,0.7205058456867466,0.022525487200067102,1.7705965420536862,96.66666666666667,145,2.0,451,2.0,145,155
128,0.7116921112438126,0.7205058456867466,0.021945098008385296,1.7742022226068381,96.66666666666667,145,,452,6.0,148,149
129,0.7122768575047669,0.7205058456867466,0.021796102324331802,1.7817076531647975,98.0,147,1.0,447,,153,152
130,0.712085115660822,0.7205058456867466,0.02184307667243039,1.7953350559497865,96.66666666666667,145,1.0,442,5.0,153,154
131,0.7132574438227788,0.7205058456867466,0.0199062530629034,1.7697577781623934,95.33333333333333,144,1.0,452,4.0,148,151
132,0.7119228518934025,0.7205058456867466,0.02210685197869461,1.780618264285524,96.66666666666667,146,1.0,449,5.0,146,153
133,0.7151726378096968,0.7205058456867466,0.016928754253003025,1.785313333717949,98.0,147,4.0,450,2.0,149,148
134,0.7091236185056744,0.7205058456867466,0.023844003909164694,1.7973066531840285,97.33333333333333,146,2.0,439,10.0,146,157
135,0.7128867930270048,0.7205058456867466,0.020870107694900324,1.7783525975996266,97.33333333333333,147,,451,4.0,145,153
136,0.7105422596462161,0.7205058456867466,0.023167102905654647,1.7811629587251605,98.0,150,,447,5.0,148,150
137,0.7147310387469736,0.7205058456867466,0.0170854538806161,1.7928187642759084,100.0,151,3.0,443,,149,154
138,0.7141550922814429,0.7205058456867466,0.01737014089878305,1.7897577781623935,98.0,149,2.0,444,2.0,148,155
139,0.7125275403174259,0.7205058456867466,0.020677469426982002,1.761707653164797,98.0,148,,455,2.0,146,149
140,0.7124065967398759,0.7205058456867466,0.021100994006621816,1.7781019726116456,98.66666666666667,148,1.0,448,,151,152
141,0.7133341570504416,0.7205058456867466,0.019897964132168103,1.7725246948242526,99.33333333333333,151,1.0,450,2.0,146,150
142,0.7136748911800586,0.7205058456867466,0.018361233235864804,1.7936575281672011,98.66666666666667,149,4.0,444,2.0,147,154
143,0.7107923404722848,0.7205058456867466,0.02374041428787625,1.7839298753870192,98.66666666666667,147,3.0,449,3.0,148,150
144,0.7107096029119201,0.7205058456867466,0.02422235488913115,1.7928187642759084,98.0,147,,447,6.0,148,152
145,0.710233214638021,0.7205058456867466,0.02249675096766727,1.7736575281672011,96.66666666666667,147,1.0,448,4.0,146,154
146,0.7134490955878465,0.7205058456867466,0.018991527694866388,1.7786466670512824,98.0,147,2.0,450,3.0,151,147
147,0.7130344376090344,0.7205058456867466,0.020496139637042284,1.7742022226068381,98.0,149,1.0,452,2.0,148,148
148,0.7111202537980501,0.7205058456867466,0.0230541082031297,1.7869908615005343,98.0,149,,442,2.0,151,156
149,0.7143384094537759,0.7205058456867466,0.01958601581620537,1.7886249448194447,96.66666666666667,145,1.0,446,3.0,151,154
150,0.7124470985076421,0.7205058456867466,0.02197402853532065,1.782252347604434,98.66666666666667,149,,449,4.0,148,150
151,0.7127209030078426,0.7205058456867466,0.019361149621830945,1.7908906115053425,98.66666666666667,148,1.0,446,8.0,150,147
152,0.7128959746006232,0.7205058456867466,0.019529685337205456,1.7697577781623934,96.0,144,,454,4.0,148,150
153,0.7135160421118383,0.7205058456867466,0.019609420786428137,1.795040986498131,97.33333333333333,145,2.0,445,5.0,150,153
154,0.7125635835956049,0.7205058456867466,0.022100708193043085,1.799485430942575,98.66666666666667,149,,443,4.0,150,154
155,0.7132035203537037,0.7205058456867466,0.02059294337838421,1.7817076531647975,98.66666666666667,151,1.0,449,3.0,149,147
156,0.7100085815327185,0.7205058456867466,0.025339818394872437,1.7839298753870196,97.33333333333333,147,1.0,445,3.0,151,153
157,0.7139521967379624,0.7205058456867466,0.019581829758269553,1.7803241948338677,98.0,148,1.0,448,3.0,149,151
158,0.7141687390873063,0.7205058456867466,0.019095904885014097,1.781958278152778,99.33333333333333,152,1.0,448,4.0,151,144
159,0.7102350265194296,0.7205058456867466,0.02291704379476073,1.7864461670608978,98.0,147,3.0,446,5.0,144,155
160,0.7129831984045574,0.7205058456867466,0.018434134934077476,1.763385180947383,97.33333333333333,147,,453,4.0,144,152
161,0.7107231659050389,0.7205058456867466,0.021326548424105373,1.7698012226260686,96.66666666666667,146,,450,6.0,147,151
162,0.7120577938658204,0.7205058456867466,0.021844841621213727,1.7758797503894235,97.33333333333333,147,2.0,450,2.0,149,150
163,0.7097661928580085,0.7205058456867466,0.02360866721364212,1.7797795003942312,97.33333333333333,146,1.0,450,8.0,146,149
164,0.7125641917586372,0.7205058456867466,0.02047946875340266,1.7742022226068381,97.33333333333333,147,2.0,450,4.0,148,149
165,0.7115230823337679,0.7205058456867466,0.022707040354266406,1.7808688892735047,99.33333333333333,151,1.0,448,5.0,148,147
166,0.7108876479198684,0.7205058456867466,0.023163846289686006,1.7686683892831199,96.0,145,2.0,450,1.0,148,154
167,0.7113503937031856,0.7239386633195667,0.021726416242468648,1.777012583732372,98.66666666666667,152,4.0,448,3.0,146,147
168,0.7132118197356385,0.7239386633195667,0.019232806259831984,1.7830911114957269,98.0,148,1.0,448,3.0,149,151
169,0.7124289184296545,0.7239386633195667,0.021176507084217238,1.7728187642759088,96.66666666666667,146,1.0,453,4.0,148,148
170,0.7136832599315229,0.7239386633195667,0.019994567542116176,1.7847686392783124,98.0,148,,448,4.0,147,153
171,0.7099680666243277,0.7239386633195667,0.024256938133507083,1.7875790004038465,97.33333333333333,150,4.0,444,6.0,149,147
172,0.7152467229323213,0.7239386633195667,0.021428808075058408,1.7725246948242526,97.33333333333333,148,,452,6.0,144,150
173,0.7172229236614477,0.7239386633195667,0.01875705718648445,1.7742022226068381,96.0,144,1.0,450,3.0,150,152
174,0.7176405949715086,0.7239386633195667,0.018386974512840125,1.7872414864885149,96.66666666666667,146,1.0,447,3.0,151,152
175,0.7196701808840563,0.7239386633195667,0.01502588187987022,1.7700084031503744,98.66666666666667,149,1.0,453,,148,149
176,0.7168329546569158,0.7239386633195667,0.021372570009237236,1.7675355559401715,98.66666666666667,149,,454,1.0,148,148
177,0.7142895088052394,0.7239386633195667,0.021059791852327345,1.757557278172009,98.66666666666667,149,2.0,456,5.0,141,147
178,0.7171591462584227,0.7239386633195667,0.020422395025875863,1.7814135837131415,99.33333333333333,151,,448,2.0,146,153
179,0.7149105893314982,0.7239386633195667,0.021698265823834897,1.7803241948338677,100.0,152,1.0,446,1.0,153,147
180,0.7166318200638616,0.7239386633195667,0.02082348594844898,1.775040986498131,99.33333333333333,150,1.0,451,1.0,146,151
181,0.7137465653521105,0.7239386633195667,0.022852694587111203,1.7597795003942311,96.66666666666667,149,2.0,452,3.0,145,149
182,0.7155672144295526,0.7239386633195667,0.02152545798226663,1.7905965420536858,98.66666666666667,151,2.0,445,5.0,147,150
183,0.7159773441032298,0.7239386633195667,0.021715143126926552,1.7839298753870196,97.33333333333333,146,3.0,447,6.0,152,146
184,0.7132233201922121,0.7239386633195667,0.02475680526977323,1.7881236948434829,97.33333333333333,146,1.0,442,4.0,151,156
185,0.7140440337952825,0.7239386633195667,0.023444583357862106,1.7847686392783124,98.0,148,1.0,444,3.0,150,154
186,0.7170742556383474,0.7239386633195667,0.02140129552411143,1.7769691392686968,97.33333333333333,149,,450,2.0,150,149
187,0.7123176404396782,0.7239386633195667,0.027839445532552527,1.7869908615005343,95.33333333333333,145,5.0,442,2.0,149,157
188,0.7168417524968406,0.7239386633195667,0.019568191623654575,1.7786466670512824,97.33333333333333,147,,448,1.0,150,154
189,0.7168060840265753,0.7239386633195667,0.019409906483179733,1.7908471670416672,99.33333333333333,151,2.0,446,5.0,146,150
190,0.7160587426445714,0.7239386633195667,0.021325277864531395,1.7778079031599896,96.0,146,,449,7.0,149,149
191,0.7180416040664565,0.7239386633195667,0.020074638753047363,1.7747469170464747,98.66666666666667,150,1.0,452,1.0,146,150
192,0.7149055244890454,0.7239386633195667,0.02522996812246643,1.7939515976188576,98.0,147,2.0,443,4.0,147,157
193,0.7165004807698336,0.7239386633195667,0.020640146106283074,1.7889190142711004,98.66666666666667,148,,445,2.0,153,152
194,0.7167137991004637,0.7239386633195667,0.020831976875037843,1.7769691392686968,96.66666666666667,144,1.0,450,3.0,149,153
195,0.7154678174678398,0.7239386633195667,0.022905607864747865,1.7869908615005343,98.0,147,1.0,446,6.0,147,153
196,0.7133257592684121,0.7239386633195667,0.02390433274606601,1.7845180142903319,97.33333333333333,145,2.0,443,3.0,153,154
197,0.7149169747961508,0.7239386633195667,0.024005508316853823,1.7864461670608982,98.66666666666667,149,3.0,446,3.0,148,151
198,0.7136872815395763,0.7239386633195667,0.023868318264811623,1.7886683892831199,98.0,148,2.0,442,5.0,145,158
199,0.71603320284877,0.7239386633195667,0.021299805935243082,1.7611629587251605,96.66666666666667,145,2.0,455,,148,150
200,0.7149500873362077,0.7239386633195667,0.023095754183584803,1.7922740698362718,96.66666666666667,147,,443,7.0,148,155
201,0.7141586426527093,0.7239386633195667,0.02317325810950429,1.7783960420633018,98.0,149,6.0,447,1.0,148,149
202,0.7152761664915048,0.7239386633195667,0.02052243177181744,1.7789407365029384,96.66666666666667,144,3.0,449,5.0,147,152
203,0.7151828638192402,0.7239386633195667,0.02393163661813335,1.7705965420536862,97.33333333333333,149,,449,1.0,148,153
204,0.7124957659313123,0.7239386633195667,0.026744012032852777,1.7669908615005347,98.66666666666667,149,2.0,452,1.0,146,150
205,0.7168496643629703,0.7239386633195667,0.021277577519537103,1.7864027225972223,98.66666666666667,149,,448,3.0,148,152
206,0.7142802976214021,0.7239386633195667,0.021713147558015036,1.7686683892831199,98.66666666666667,149,3.0,452,3.0,146,147
207,0.7156129245718815,0.7239386633195667,0.02102868154405326,1.775585680937767,98.0,150,1.0,451,3.0,145,150
