generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_defensive_wall,archetype_speed_sweeper,archetype_fast_attacker,archetype_defensive_pivot,archetype_balanced_all-rounder,archetype_generalist
206,0.6386239173642236,0.6487601334413411,0.025788845045017782,2.242740278498933,98.66666666666667,7,150,151,153,148,291.0
207,0.6395788097263178,0.6487601334413411,0.025004152148889867,2.240518056276711,99.33333333333333,8,151,152,148,146,295.0
208,0.635646907676174,0.6487601334413411,0.029603985223951895,2.221901514607641,94.66666666666667,2,145,151,158,150,294.0
209,0.637890361120623,0.6487601334413411,0.028693976252386497,2.236073611832267,98.0,6,150,150,150,149,295.0
210,0.6385661431745644,0.6487601334413411,0.026187328976779306,2.233012625718752,99.33333333333333,7,151,146,154,144,298.0
211,0.6376348082111701,0.6487601334413411,0.027838964098347622,2.2449625007211558,99.33333333333333,6,156,151,149,148,290.0
212,0.6383832776789305,0.6487601334413411,0.027888394352704196,2.2271847229433783,99.33333333333333,2,155,150,150,147,296.0
213,0.6395860010011251,0.6487601334413411,0.023016236329298573,2.226345959052085,98.0,3,150,152,153,147,295.0
214,0.635175090995515,0.6487601334413411,0.029357194730464185,2.2249625007211558,98.66666666666667,8,159,149,149,141,294.0
215,0.6361712223702918,0.6487601334413411,0.028403105979232034,2.236073611832267,99.33333333333333,7,155,149,151,149,289.0
216,0.6406267860079583,0.6487601334413411,0.023389531979055047,2.236073611832267,98.66666666666667,3,153,150,150,149,295.0
217,0.6316548943994362,0.6487601334413411,0.03414773435649299,2.2291128757139442,98.66666666666667,7,150,148,152,152,291.0
218,0.641074485901047,0.6487601334413411,0.02319823724953569,2.2516291673878226,99.33333333333333,6,155,149,150,149,291.0
219,0.636397549390789,0.6487601334413411,0.028143600847294458,2.2316291673878226,98.66666666666667,8,152,149,151,147,293.0
220,0.6396011227224654,0.6487601334413411,0.02561276945303057,2.2343960840496813,97.33333333333333,5,145,150,155,148,297.0
221,0.6404109691645,0.6487601334413411,0.023775058274282976,2.2410627507163476,99.33333333333333,5,150,150,153,146,296.0
222,0.6405799789150356,0.6487601334413411,0.024064151667365596,2.242740278498933,100.0,5,156,149,150,148,292.0
223,0.6369089374094834,0.6487601334413411,0.029708374320850994,2.229951639605237,99.33333333333333,6,152,149,147,148,298.0
224,0.6356526639329462,0.6487601334413411,0.028953053620555766,2.237457070163196,98.0,10,152,149,152,143,294.0
225,0.6389691849332005,0.6487601334413411,0.025616512920397155,2.2494069451656,99.33333333333333,11,149,150,152,148,290.0
226,0.6389448375315764,0.6487601334413411,0.02662488699929499,2.2405180562767115,98.0,7,149,150,153,148,293.0
227,0.6391096517784058,0.6487601334413411,0.02679150165411555,2.2396792923854187,99.33333333333333,4,152,150,153,150,291.0
228,0.6409818942979414,0.6487601334413411,0.025308748416570336,2.2405180562767115,100.0,4,152,150,148,151,295.0
229,0.6415954225219274,0.6487601334413411,0.022709473515179174,2.242740278498933,98.0,5,150,149,149,153,294.0
230,0.6374911176240926,0.6487601334413411,0.027558618914298484,2.2449625007211558,98.0,9,150,149,153,149,290.0
231,0.6338185074864787,0.6487601334413411,0.029736853278750516,2.2321738618274596,100.0,12,156,147,153,141,291.0
